analysis_family,model,condition,metric,pairs,status,reason,n_pairs,n_scenarios,mean_delta_pairs,mean_delta_scenarios,median_delta_scenarios,sd_delta_scenarios,iqr_delta_scenarios,ci95_lower,ci95_upper,p_permutation,p_sign_test,wilcoxon_statistic,p_wilcoxon,rank_biserial,p_holm,significant_005,holm_family,run_id
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,B_FAIRNESS,empathy,P002,COMPUTED,,40,40,-0.125,-0.125,0.0,0.40430377003131995,0.0,-0.25,0.0,0.12588741125887412,0.125,4.0,0.05878172135535886,-0.7142857142857143,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,A_BASE,severity,P002,COMPUTED,,40,40,0.15,0.15,0.0,0.36162028533978946,0.0,0.05,0.275,0.032996700329967,0.03125,0.0,0.014305878435429648,1.0,0.395960403959604,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,A_BASE,empathy,P002,COMPUTED,,40,40,0.0,0.0,0.0,0.32025630761017426,0.0,-0.1,0.1,1.0,1.0,5.0,1.0,0.0,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,B_FAIRNESS,severity,P002,COMPUTED,,40,40,-0.05,-0.05,0.0,0.3889499341586925,0.0,-0.175,0.075,0.6825317468253175,0.6875,7.0,0.4142161782425253,-0.3333333333333333,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,B_FAIRNESS,empathy,P002,COMPUTED,,40,40,-0.05,-0.05,0.0,0.45007121943543843,0.0,-0.175,0.075,0.7339266073392661,0.7265625,13.5,0.47950012218695337,-0.25,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,A_BASE,severity,P002,COMPUTED,,40,40,0.0,0.0,0.0,0.6793662204867574,0.0,-0.2,0.225,1.0,1.0,39.0,1.0,0.0,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,A_BASE,empathy,P002,COMPUTED,,40,40,0.075,0.075,0.0,0.7298577311314225,0.0,-0.15,0.3,0.6728327167283271,0.60723876953125,49.5,0.5184271239077466,0.175,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,B_FAIRNESS,severity,P002,COMPUTED,,40,40,0.125,0.125,0.0,0.46340434799814917,0.0,0.0,0.275,0.17998200179982002,0.1796875,10.0,0.0955807045456294,0.5555555555555556,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,B_FAIRNESS,empathy,P002,COMPUTED,,40,40,-0.075,-0.075,0.0,0.764182150389787,0.25,-0.3,0.15,0.6768323167683231,0.629058837890625,64.5,0.5360811278119356,-0.1568627450980392,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,A_BASE,severity,P003,COMPUTED,,40,40,0.05,0.05,0.0,0.38894993415869256,0.0,-0.075,0.175,0.6848315168483151,0.6875,7.0,0.4142161782425253,0.3333333333333333,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,A_BASE,empathy,P003,COMPUTED,,40,40,0.1,0.1,0.0,0.4414428557263045,0.0,-0.025,0.25,0.28517148285171484,0.2890625,9.0,0.15729920705028502,0.5,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,B_FAIRNESS,severity,P003,COMPUTED,,40,40,-0.025,-0.025,0.0,0.42290206176626033,0.0,-0.15,0.1,1.0,1.0,12.0,0.7054569861112734,-0.14285714285714285,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,B_FAIRNESS,empathy,P003,COMPUTED,,40,40,0.125,0.125,0.0,0.46340434799814917,0.0,0.0,0.275,0.1842815718428157,0.21875,3.0,0.0955807045456294,0.7142857142857143,1.0,False,PRIMARY_JUDGE_PER_PAIR,
